qualifyId,raceId,driverId,driver_ref,constructorId,constructor_ref,number,position,q1,q2,q3,q1_ms,q2_ms,q3_ms,,
228,28,16,sutil,10,force_india,20,20,01:22.1,,NULL,82113,0,0,,
229,29,13,massa,6,ferrari,2,1,01:38.2,01:37.9,01:39.0,98176,97859,98989,,
230,29,1,hamilton,1,mclaren,22,2,01:38.5,01:38.0,01:39.2,98464,97954,99199,,
231,29,9,kubica,2,bmw_sauber,4,3,01:38.3,01:38.1,01:39.4,98347,98050,99392,,
232,29,8,raikkonen,6,ferrari,1,4,01:38.7,01:38.2,01:39.5,98703,98229,99488,,
233,29,5,kovalainen,1,mclaren,23,5,01:38.7,01:38.1,01:39.9,98656,98120,99937,,
234,29,20,vettel,5,toro_rosso,15,6,01:38.1,01:37.8,01:40.1,98141,97842,100142,,
235,29,15,trulli,7,toyota,11,7,01:37.9,01:37.9,01:40.3,97948,97928,100309,,
236,29,2,heidfeld,2,bmw_sauber,3,8,01:38.7,01:37.9,01:40.6,98738,97859,100631,,
237,29,3,rosberg,3,williams,7,9,01:38.6,01:38.3,01:40.7,98595,98336,100721,,
238,29,7,bourdais,5,toro_rosso,14,10,01:38.6,01:38.4,01:40.8,98622,98417,100750,,
239,29,6,nakajima,3,williams,8,11,01:38.7,01:38.4,NULL,98667,98428,0,,
240,29,4,alonso,4,renault,5,12,01:38.3,01:38.4,NULL,98268,98435,0,,
241,29,10,glock,7,toyota,12,13,01:38.5,01:38.5,NULL,98532,98499,0,,
242,29,17,webber,9,red_bull,10,14,01:38.6,01:38.5,NULL,98559,98515,0,,
243,29,12,piquet_jr,4,renault,6,15,01:38.8,01:38.7,NULL,98787,98744,0,,
244,29,18,button,11,honda,16,16,01:38.9,,NULL,98880,0,0,,
245,29,14,coulthard,9,red_bull,9,17,01:39.2,,NULL,99235,0,0,,
246,29,21,fisichella,10,force_india,21,18,01:39.3,,NULL,99268,0,0,,
247,29,22,barrichello,11,honda,17,19,01:39.8,,NULL,99811,0,0,,
248,29,16,sutil,10,force_india,20,20,01:39.9,,NULL,99943,0,0,,
249,30,1,hamilton,1,mclaren,22,1,01:46.9,01:46.1,01:47.3,106887,106088,107338,,
250,30,13,massa,6,ferrari,2,2,01:46.9,01:46.4,01:47.7,106873,106391,107678,,
251,30,5,kovalainen,1,mclaren,23,3,01:46.8,01:46.0,01:47.8,106812,106037,107815,,
252,30,8,raikkonen,6,ferrari,1,4,01:47.0,01:46.3,01:48.0,106960,106298,107992,,
253,30,2,heidfeld,2,bmw_sauber,3,5,01:47.4,01:46.3,01:48.3,107419,106311,108315,,
254,30,4,alonso,4,renault,5,6,01:47.2,01:46.5,01:48.5,107154,106491,108504,,
255,30,17,webber,9,red_bull,10,7,01:47.3,01:46.8,01:48.7,107270,106814,108736,,
256,30,9,kubica,2,bmw_sauber,4,8,01:47.1,01:46.5,01:48.8,107093,106494,108763,,
257,30,7,bourdais,5,toro_rosso,14,9,01:46.8,01:46.5,01:49.0,106777,106544,108951,,
258,30,20,vettel,5,toro_rosso,15,10,01:47.2,01:46.8,01:50.3,107152,106804,110319,,
259,30,15,trulli,7,toyota,11,11,01:47.4,01:46.9,NULL,107400,106949,0,,
260,30,12,piquet_jr,4,renault,6,12,01:47.1,01:47.0,NULL,107052,106965,0,,
261,30,10,glock,7,toyota,12,13,01:47.4,01:47.0,NULL,107359,106995,0,,
262,30,14,coulthard,9,red_bull,9,14,01:47.1,01:47.0,NULL,107132,107018,0,,
263,30,3,rosberg,9,red_bull,7,15,01:47.5,01:47.4,NULL,107503,107429,0,,
264,30,22,barrichello,9,red_bull,17,16,01:48.2,,NULL,108153,0,0,,
265,30,18,button,9,red_bull,16,17,01:48.2,,NULL,108211,0,0,,
266,30,16,sutil,9,red_bull,20,18,01:48.2,,NULL,108226,0,0,,
