raceId,year,round,circuitId,name,date,time,url,circuit_ref,country
129,2002,6,23,Austrian Grand Prix,5/12/2002,,http://en.wikipedia.org/wiki/2002_Austrian_Grand_Prix,osterreichring,Azerbaijan
130,2002,7,6,Monaco Grand Prix,5/26/2002,,http://en.wikipedia.org/wiki/2002_Monaco_Grand_Prix,monaco,Azerbaijan
131,2002,8,7,Canadian Grand Prix,6/9/2002,,http://en.wikipedia.org/wiki/2002_Canadian_Grand_Prix,villeneuve,Azerbaijan
132,2002,9,20,European Grand Prix,6/23/2002,,http://en.wikipedia.org/wiki/2002_European_Grand_Prix,nurburgring,Azerbaijan
133,2002,10,9,British Grand Prix,7/7/2002,,http://en.wikipedia.org/wiki/2002_British_Grand_Prix,silverstone,Azerbaijan
134,2002,11,8,French Grand Prix,7/21/2002,,http://en.wikipedia.org/wiki/2002_French_Grand_Prix,magny_cours,Azerbaijan
135,2002,12,10,German Grand Prix,7/28/2002,,http://en.wikipedia.org/wiki/2002_German_Grand_Prix,hockenheimring,Azerbaijan
136,2002,13,11,Hungarian Grand Prix,8/18/2002,,http://en.wikipedia.org/wiki/2002_Hungarian_Grand_Prix,hungaroring,Azerbaijan
137,2002,14,13,Belgian Grand Prix,9/1/2002,,http://en.wikipedia.org/wiki/2002_Belgian_Grand_Prix,spa,Azerbaijan
138,2002,15,14,Italian Grand Prix,9/15/2002,,http://en.wikipedia.org/wiki/2002_Italian_Grand_Prix,monza,Azerbaijan
139,2002,16,19,United States Grand Prix,9/29/2002,,http://en.wikipedia.org/wiki/2002_United_States_Grand_Prix,indianapolis,Azerbaijan
140,2002,17,22,Japanese Grand Prix,10/13/2002,,http://en.wikipedia.org/wiki/2002_Japanese_Grand_Prix,suzuka,Azerbaijan
141,2001,1,1,Australian Grand Prix,3/4/2001,,http://en.wikipedia.org/wiki/2001_Australian_Grand_Prix,albert_park,Azerbaijan
142,2001,2,2,Malaysian Grand Prix,3/18/2001,,http://en.wikipedia.org/wiki/2001_Malaysian_Grand_Prix,sepang,Azerbaijan
143,2001,3,18,Brazilian Grand Prix,4/1/2001,,http://en.wikipedia.org/wiki/2001_Brazilian_Grand_Prix,interlagos,Azerbaijan
144,2001,4,21,San Marino Grand Prix,4/15/2001,,http://en.wikipedia.org/wiki/2001_San_Marino_Grand_Prix,imola,Azerbaijan
145,2001,5,4,Spanish Grand Prix,4/29/2001,,http://en.wikipedia.org/wiki/2001_Spanish_Grand_Prix,catalunya,Azerbaijan
146,2001,6,23,Austrian Grand Prix,5/13/2001,,http://en.wikipedia.org/wiki/2001_Austrian_Grand_Prix,osterreichring,Azerbaijan
147,2001,7,6,Monaco Grand Prix,5/27/2001,,http://en.wikipedia.org/wiki/2001_Monaco_Grand_Prix,monaco,Azerbaijan
148,2001,8,7,Canadian Grand Prix,6/10/2001,,http://en.wikipedia.org/wiki/2001_Canadian_Grand_Prix,villeneuve,Azerbaijan
149,2001,9,20,European Grand Prix,6/24/2001,,http://en.wikipedia.org/wiki/2001_European_Grand_Prix,nurburgring,Azerbaijan
150,2001,10,8,French Grand Prix,7/1/2001,,http://en.wikipedia.org/wiki/2001_French_Grand_Prix,magny_cours,Azerbaijan
151,2001,11,9,British Grand Prix,7/15/2001,,http://en.wikipedia.org/wiki/2001_British_Grand_Prix,silverstone,Azerbaijan
152,2001,12,10,German Grand Prix,7/29/2001,,http://en.wikipedia.org/wiki/2001_German_Grand_Prix,hockenheimring,Azerbaijan
153,2001,13,11,Hungarian Grand Prix,8/19/2001,,http://en.wikipedia.org/wiki/2001_Hungarian_Grand_Prix,hungaroring,Azerbaijan
154,2001,14,13,Belgian Grand Prix,9/2/2001,,http://en.wikipedia.org/wiki/2001_Belgian_Grand_Prix,spa,Azerbaijan
155,2001,15,14,Italian Grand Prix,9/16/2001,,http://en.wikipedia.org/wiki/2001_Italian_Grand_Prix,monza,Azerbaijan
156,2001,16,19,United States Grand Prix,9/30/2001,,http://en.wikipedia.org/wiki/2001_United_States_Grand_Prix,indianapolis,Azerbaijan
157,2001,17,22,Japanese Grand Prix,10/14/2001,,http://en.wikipedia.org/wiki/2001_Japanese_Grand_Prix,suzuka,Azerbaijan
158,2000,1,1,Australian Grand Prix,3/12/2000,,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix,albert_park,Azerbaijan
159,2000,2,18,Brazilian Grand Prix,3/26/2000,,http://en.wikipedia.org/wiki/2000_Brazilian_Grand_Prix,interlagos,Azerbaijan
160,2000,3,21,San Marino Grand Prix,4/9/2000,,http://en.wikipedia.org/wiki/2000_San_Marino_Grand_Prix,imola,Azerbaijan
161,2000,4,9,British Grand Prix,4/23/2000,,http://en.wikipedia.org/wiki/2000_British_Grand_Prix,silverstone,Azerbaijan
162,2000,5,4,Spanish Grand Prix,5/7/2000,,http://en.wikipedia.org/wiki/2000_Spanish_Grand_Prix,catalunya,Azerbaijan
163,2000,6,20,European Grand Prix,5/21/2000,,http://en.wikipedia.org/wiki/2000_European_Grand_Prix,nurburgring,Azerbaijan
